UNIQ_ID,PARENT,FCODE,USG_GROUP,USG_CODE,USG_SP_NAM,USG_SP_NM_,USG_PRIORI,BLDG_ID,CMPLX_ID,CMLX_FCD,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER
"53961377","0","223","20","5521","בית כנסת - רש""בי",,"2","53339312","0","0",185920.13462699999,655465.61459400004,"2016",2017-01
"53960763","0","223","20","5521",בית כנסת - אבי שלום,,"1","52521004","0","0",180024.59862700000,658422.14509400004,"0",
"53960764","0","223","20","5521",בית כנסת - אשרי העם,,"1","52328261","0","0",175633.37862700000,658249.65749400004,"0",
"53960765","0","223","20","5521",בית כנסת,Synagogue,"1","52289744","0","0",195493.52222700001,667728.85139400000,"0",
"53960773","0","223","20","5521",בית כנסת - התאחדות האברכים,,"1","52388078","0","0",184279.61602700001,666638.60149399994,"0",
"53960778","0","223","20","5521",בית כנסת - המרכזי כפר גנים ב,,"1","52376706","0","0",189179.45722700001,664641.73069400003,"0",
"53960779","0","223","20","5521",בית כנסת - אהרן חיים,,"1","53313442","0","0",184673.35272699999,666519.19379399996,"0",
"54013155","0","223","20","5521",בית כנסת - תלמי מנשה,,"1","52505694","0","0",185708.49552699999,650269.89139400003,"0",
"53960784","0","223","20","5521",בית כנסת,Synagogue,"1","52243893","0","0",178347.32572699999,659133.26349399996,"0",
"53960788","0","223","20","5521",בית כנסת - הכהנים,,"1","52352318","0","0",191892.34822700001,664555.04179399996,"2017",2018-04
"53959879","0","223","20","5521",בית כנסת - מרכזי הפועל המזרח,,"1","52249859","0","0",182026.40202700000,651320.47621400002,"0",
"53959884","0","223","20","5521",בית כנסת - ישורון,,"1","52602248","0","0",189947.49402700001,651039.87909399997,"0",
"53959889","0","223","20","5521",בית כנסת - אגודת ישראל,,"1","52261013","0","0",181742.29852700001,658994.80589399999,"0",
"53959891","0","223","20","5521",בית כנסת - דורה עמור,,"1","52310646","0","0",190591.64232700001,667232.70329400001,"2017",2018-04
"54012952","0","223","20","5521",בית כנסת - שארית ישראל,,"1","52351041","0","0",182628.66422700000,666639.29689400003,"0",
"53960445","0","223","20","5521",בית כנסת,Synagogue,"1","52530864","0","0",216966.05852699999,629366.73399400001,"0",
"53960450","0","223","20","5521",בית כנסת,Synagogue,"1","52689357","0","0",220494.07392699999,629968.35229399998,"0",
"53960452","0","223","20","5521",בית כנסת - מרום ציון,,"1","52490622","0","0",190570.08882700000,664280.31059400004,"0",
"53960454","0","223","20","5521",בית כנסת,Synagogue,"1","52677635","0","0",221290.38982700001,633044.83239400003,"0",
"53959332","0","223","20","5521",בית כנסת - היכל יהונתן,,"1","52380580","0","0",188654.63122700001,651950.47621400002,"0",
"53960459","0","223","20","5521",בית כנסת - מרום ישראל,Merom Yisra'el Synagogue,"1","52228078","0","0",175843.37082700001,658853.76719399996,"0",
"53960461","0","223","20","5521",בית כנסת - צעירי אירן,,"1","53094830","0","0",180256.39782700001,657498.58519400004,"0",
"53960466","0","223","20","5521",בית כנסת - בית אל,Bet El Synagogue,"1","52976758","0","0",189176.85232700000,650488.29279400001,"0",
"53960471","0","223","20","5521",בית כנסת - בית אל,Bet El Synagogue,"2","52298593","0","0",183598.31362700000,666222.89059400000,"0",
"53961883","0","223","20","5521",בית כנסת,Synagogue,"1","53313744","0","0",188917.41872700001,663937.17229400005,"0",
"53961712","0","223","20","5501",מקווה,Mikve (Ritual Bath),"1","52512401","0","0",194804.32142699999,658331.31729399995,"0",
"53960800","0","223","20","5521",בית כנסת - אוהל משה,Ohel Moshe Synagogue,"1","52344264","54450075","251",188558.30462700000,666677.13019399997,"2017",2018-04
"54013213","0","223","20","5501",מקווה,Mikve (Ritual Bath),"1","52545676","0","0",227161.26322699999,664055.63309400005,"0",
