id,lat,long,from,to,raw_text
1444,31.804381,34.655314,2020-03-09 5:30:00,2020-03-09 7:30:00,"ביהכ""נ הריב""ל - אשדוד"
1445,32.1618209,34.9347458,2020-03-09 6:00:00,2020-03-09 7:00:00,"מכון כושר קרוספיט – עתיר ידע 19, בכפר סבא1"
1446,32.80663,34.98757,2020-03-09 6:30:00,2020-03-09 7:00:00,"ארוחת בוקר במלון דן פנורמה, חיפה"
1447,31.906132,34.990973,2020-03-09 6:30:00,2020-03-09 23:00:00,"בית ספר עירוני ה', רח' אבנר חושן 57 מודיעין"
1448,32.28490355,35.12615464,2020-03-09 7:00:00,2020-03-09 8:00:00,"בית כנסת ""אשכנזי"", עינב."
1449,32.1719498,34.8597152,2020-03-09 7:00:00,2020-03-09 8:45:00,"בית כנסת ""כתר תורה"", רחוב רחל 11, הרצליה"
1450,31.653589,35.149934,2020-03-09 7:00:00,2020-03-09 9:00:00,בית הכנסת המרכזי של שכונת התמר- קריאת מגילה - אפרת
1451,31.773199,35.185261,2020-03-09 7:00:00,2020-03-09 15:00:00,"בי""ח שע""צ - ירושלים"
1452,31.802774,35.099945,2020-03-09 7:30:00,2020-03-09 8:00:00,"בית הכנסת ""קול יהודה"" בקריית יערים"
1453,32.0902153,34.8327849,2020-03-09 7:30:00,2020-03-09 9:00:00,"בית הכנסת תפארת נחמן (אולם גדול), רחוב אבן שפרוט 2, בני ברק"
1454,31.7797532,35.22151501,2020-03-09 7:30:00,2020-03-09 9:00:00,"בית הכנסת 'אוהבי ירושלים' ברח' בן שטח, ירושלים"
1455,33.132583,35.777071,2020-03-09 8:00:00,2020-03-09 9:00:00,חדר אוכל של קיבוץ מירום גולן
1456,32.82723,34.97012,2020-03-09 8:00:00,2020-03-09 9:00:00,כנסיית מינזר סטלה מאריס חיפה.
1457,31.83382613,35.17195982,2020-03-09 8:00:00,2020-03-09 16:00:00,בית- קריאת מגילה ואירוע סעודת פורים - גבעת זאב
1458,32.096748,34.8409219,2020-03-09 8:30:00,2020-03-09 9:00:00,"סופרמרקט ""נתיב החסד"", רח' נויפלד 15, בני ברק"
1459,32.07944765,34.83882065,2020-03-09 8:30:00,2020-03-09 12:00:00,מרכז חסידי ויז'ניץ - בני ברק
1460,31.310954,34.6126154,2020-03-09 8:40:00,2020-03-09 9:00:00,מרפאה כללית אופקים (מישור הגפן)
1461,31.98545,34.85732,2020-03-09 9:00:00,2020-03-09 11:00:00,בית כנסת נחום יצחק בכפר חבד
1462,32.09720557,34.83767579,2020-03-09 9:10:00,2020-03-20 10:10:00,חניכי ישיבות אישי ישראל - בני ברק
1463,32.0988647,34.84265482,2020-03-09 9:10:00,2020-03-20 10:10:00,אישי ישראל - בני ברק
1464,32.09892245,34.84267984,2020-03-09 9:10:00,2020-03-20 10:10:00,בית חסידים גור - בני ברק
1465,32.81136,34.98527,2020-03-09 9:15:00,2020-03-09 9:30:00,"תצפית ברח' יפה נוף, ליד גני הבהאיים, חיפה."
1466,32.080337,34.817537,2020-03-09 9:30:00,2020-03-09 10:30:00,"בית קפה- מאפייה ברחוב קריניצי 23, רמת גן"
1467,31.9036971,34.9946079,2020-03-09 9:30:00,2020-03-09 11:00:00,בית כנסת חושן רח' בדולח 12 מודיעין1
1468,32.084932,34.835226,2020-03-09 9:30:00,2020-03-09 10:00:00,מקווה רחוב רבינה 16 בבני ברק
1469,32.09059606,34.83285044,2020-03-09 9:30:00,2020-03-09 10:00:00,"בית כנסת ""תפארת נחמן"" - בני ברק"
1470,32.7896944,35.0406276,2020-03-09 10:00:00,2020-03-09 12:00:00,לייזר טאג חיפה
1471,31.23989507,34.79054121,2020-03-09 10:00:00,2020-03-18 10:00:00,"בנק הפועלים רח' עצמאות 40 ב""ש - באר שבע"
1472,31.361765,34.901003,2020-03-09 10:00:00,2020-03-10 10:00:00,מסיבת רחוב פורים סנסנה - סנסנה
1473,32.09888143,34.84267405,2020-03-09 10:00:00,2020-03-09 12:00:00,בית הכנסת בית החסידים גור - בני ברק
1474,32.70215,35.29739,2020-03-09 10:30:00,2020-03-09 12:00:00,"כנסית הבשורה, נצרת"
1475,31.85117,34.83453,2020-03-09 10:30:00,2020-03-09 11:30:00,"נתיב השיירות 4, מזכרת בתיה, ישראל"
1476,31.9918874,34.7599644,2020-03-09 10:30:00,2020-03-09 12:30:00,"ידיעות אחרונות ברחוב נוח מוזס ,1 ראשון לציון"
1477,32.0380084,34.8859587,2020-03-09 11:00:00,2020-03-09 12:00:00,גן שעשועים ברח' הרצל ביהוד
1478,31.6641306,34.5656529,2020-03-09 11:00:00,2020-03-09 11:30:00,סופר פארם מרכז גירון בן גוריון 21 אשקלון
1479,32.6747312,35.2214472,2020-03-09 11:00:00,2020-03-09 11:45:00,"קפה קפה, קיבוץ יפעת"
1480,32.0860237,34.8303992,2020-03-09 11:00:00,2020-03-09 11:30:00,רופאת עור קופח מכבי - בני ברק
1481,32.075502,34.795572,2020-03-09 11:30:00,2020-03-09 13:00:00,"""מחסני חשמל"" ברחוב יגאל אלון 127, תל אביב"
1482,31.24383016,34.79477281,2020-03-09 11:40:00,2020-03-09 11:45:00,ארומה תחנה מרכזית באר שבע - באר שבע
1483,31.853529,34.841284,2020-03-09 11:45:00,2020-03-09 12:00:00,"""אמפי פארק יצחקי"" מזכרת בתיה"
1484,32.702059,35.295353,2020-03-09 12:00:00,2020-03-09 13:00:00,א. צהריים מסעדת מערות הבית החדש בנצרת.
1485,32.6902017,35.19647346,2020-03-09 12:00:00,2020-03-09 13:00:00,"מרכז מזון, נהלל"
1486,32.0746645,34.8374671,2020-03-09 12:00:00,2020-03-09 12:30:00,"סעודת פורים, רחוב דמשק אליעזר, בני ברק"
1487,32.0684862,34.7941454,2020-03-09 12:30:00,2020-03-09 13:30:00,"צ'יקן סטיישן מגדלי אלון, רח' יגאל אלון 94, תל אביב"
1488,31.68029,35.16417,2020-03-09 12:30:00,2020-03-09 13:00:00,הפנינג בשכונת התמר - אפרת
1489,32.702059,35.295353,2020-03-09 13:00:00,2020-03-09 13:40:00,ביקור בבית הספר הבפטיסטי כולל אולם הכנסיה
1490,32.09982547,34.82057918,2020-03-09 13:00:00,2020-03-09 22:30:00,מחלקת שינוע שדה תעופה - לוד
